,id,username,rank,cohort,best_time,best_record,country,created_date,xp,achievement_rating,TL_games_played,TL_games_won,TL_play_time,num_records,time_played,final_time_avg,pps_avg,inputs_avg,score_avg,pieces_placed_avg,singles_avg,doubles_avg,triples_avg,quads_avg,all_clears_avg,finesse_faults_avg,finesse_perf_avg,percent_perf_avg,kpp_avg,kps_avg,final_time_pb,pps_pb,inputs_pb,score_pb,pieces_placed_pb,singles_pb,doubles_pb,triples_pb,quads_pb,all_clears_pb,finesse_faults_pb,finesse_perf_pb,percent_perf_pb,kpp_pb,kps_pb,cluster,cluster_name
6,605719f68adae6238ca7d22f,iuranlah,7,14,14611.666666666666,66961f25831a250b873a043d,ID,2021-03-21T10:03:34.414Z,7197408.5,0,3753,1877,2191684.134666668,24,119434070.72430372,22753.81944444444,5.2160894033881675,293.1666666666667,15918.791666666666,104.75,5.708333333333333,2.3333333333333335,0.375,5.958333333333333,0.125,0.625,104.25,0.995292889620811,2.7891311562396095,14.062982135856428,14611.666666666666,6.91228470400365,264,11554,101,11,1,1,6,0,0.0,101.0,1.0,2.613861386138614,18.06775407779172,0,Axolotl
18,5e8dc0302900ee2c1e975682,206,19,15,15553.333333333334,66957d37a2f6b8219af0e07e,KR,2020-04-08T12:14:40.602Z,2339841.0,0,784,363,586816.222071108,20,149407004.53632402,21762.166666666664,5.0764010126031875,275.95,13475.1,102.15,3.05,1.65,0.7,7.85,0.05,3.85,99.05,0.9696627098044702,2.700628173640808,13.599765293925177,15553.333333333334,6.558079725675096,265,14664,102,0,0,0,10,0,4.0,98.0,0.9607843137254902,2.5980392156862746,17.038148306900986,1,Bear
5,5f5dbcc4454e942b4fdfc5fa,vincehd,6,14,14531.666666666666,66963653831a250b874b753b,PH,2020-09-13T06:31:32.291Z,22593690.55089075,448,18362,9580,6535734.041444441,177,135776392.84730268,26947.966101694914,4.88170494696039,285.48022598870057,13963.28813559322,106.66666666666667,13.401129943502825,2.384180790960452,0.5649717514124294,4.508474576271187,0.3163841807909605,3.9491525423728815,103.84745762711864,0.9741574860448412,2.6709527437011795,13.253147142135706,14531.666666666666,7.0879688037619,256,12050,103,7,5,1,5,0,2.0,101.0,0.9805825242718447,2.4854368932038833,17.616699162748024,2,Bee
0,62a51397bf6ce5ce2e84b6cd,westl,1,13,13430.0,66c273ca024b9a580d3c56a4,US,2022-06-11T22:13:43.355Z,12363296.801439725,445,10105,5187,4162388.472333324,611,80769461.78326917,25401.876704855425,5.140236378422573,360.50081833060557,20798.104746317513,114.08674304418986,5.968903436988543,1.7266775777414076,0.4157119476268412,4.363338788870704,0.25040916530278234,3.620294599018003,112.22749590834697,0.9836539916011771,3.1308182661183377,16.005368655143283,13430.0,7.527950310559007,306,15710,101,6,5,0,6,1,0.0,101.0,1.0,3.0297029702970297,22.78481012658228,3,Bobcat
1,5e89fca2fd676e407898adbe,fortissim2,2,14,14008.333333333334,669633fe831a250b87499856,CA,2020-04-05T15:43:30.457Z,12306264.720222458,359,4129,2645,3006990.577926668,1965,149653674.681293,21907.95335029686,5.006961174025337,281.7908396946565,13578.121628498728,103.2468193384224,6.750636132315521,2.2646310432569976,0.6310432569974554,6.514503816793893,0.24834605597964376,2.3124681933842237,102.11653944020357,0.9892025392790917,2.727512581622768,13.563953762438187,14008.333333333334,7.209994051160023,256,13274,101,2,3,0,8,0,0.0,101.0,1.0,2.5346534653465347,18.274836406900654,4,Buffalo
106,5e572f8fa11e08662ef3d9c1,meppydc,107,18,18796.666666666668,66fa028a7253b34ec1a88177,CA,2020-02-27T02:55:11.217Z,1549565.4318566709,126,724,385,337134.9315477774,40,152982973.92146993,46792.166666666664,3.5513125793069826,326.575,17500.7,107.225,4.925,2.075,0.425,6.65,0.8,12.7,103.675,0.9677506341308832,3.0309612682906,10.135649075816968,18796.666666666668,5.377107364685004,267,14764,101,0,0,0,10,0,5.0,98.0,0.9702970297029703,2.6435643564356437,14.204646213867706,5,Cat
95,6049c31e25f490b0cb7559c4,fesh,96,18,18620.0,6695caca831a250b87f64801,HM,2021-03-11T07:13:34.039Z,13393672.22265107,237,7545,4358,3695020.618888908,107,120308271.09945202,41955.14018691589,3.791835621979501,370.5327102803738,33755.01869158878,107.29906542056075,12.719626168224298,5.149532710280374,0.8504672897196262,1.560747663551402,5.224299065420561,7.08411214953271,102.28971962616822,0.9545612358918154,3.4405697620597686,13.060757545047275,18620.0,5.370569280343717,331,40058,100,12,7,2,1,8,2.0,98.0,0.98,3.31,17.7765843179377,6,Cheetah
73,66a1956bd428e510115b3f7a,setsuhana,74,18,18113.33333333333,671b17146342213894eeed83,SG,2024-07-24T23:59:39.386Z,631591.1622675841,122,191,108,110824.85822222228,61,13889505.752416372,27788.114754098362,4.019127032195121,361.344262295082,13677.0,105.78688524590164,10.852459016393443,1.8852459016393444,0.3442622950819672,5.524590163934426,0.14754098360655737,23.065573770491802,88.54098360655738,0.8367264338511047,3.4079100871108525,13.68048424241947,18113.33333333333,5.635359116022099,362,37599,102,12,5,0,1,5,10.0,94.0,0.9215686274509803,3.549019607843137,19.985277880014728,7,Chimpanzee
2394,63d6667869ace36d329ed014,rich2,2474,29,29325.0,66962326831a250b873d284f,KR,2023-01-29T12:28:40.557Z,3835.0,0,0,0,2625.305555555555,12,60759764.585309744,157027.77777777778,1.0803403547749726,524.75,12167.333333333334,108.25,8.416666666666666,4.25,0.9166666666666666,4.75,0.0,141.08333333333334,55.0,0.5043396776458225,4.861672999370259,4.457728223717713,29325.0,3.614663256606992,331,19324,106,0,0,0,8,0,9.0,101.0,0.9528301886792453,3.1226415094339623,11.287297527706736,8,Coyote
1026,5eb4ee41a59e1e6c236f5ff3,maanyan,1061,25,25621.666666666668,669562b9a2f6b8219ad980de,PH,2020-05-08T05:29:37.656Z,3872475.0,0,4469,1572,1131829.4339522233,19,146839307.48402548,27936.315789473683,3.73964682716489,368.89473684210526,11837.947368421053,104.0,8.0,1.631578947368421,0.6842105263157895,6.684210526315789,0.0,19.36842105263158,88.0,0.8462940987011028,3.5459899237098464,13.249117150554616,25621.666666666668,3.981005659272751,356,12308,102,3,1,1,8,0,18.0,89.0,0.8725490196078431,3.4901960784313726,13.894490340206856,9,Dingo
1061,66ba01b9f8926c2b98aae633,pumpum_destroyer,1096,25,25785.0,66cd387c9ff41ff4bda25069,GB,2024-08-12T12:36:09.667Z,150161.2088633442,9,113,15,41197.10377777778,21,12288915.473084688,264935.31746031746,0.6239251485835129,664.3809523809524,8942.714285714286,121.66666666666667,19.0,4.095238095238095,1.6666666666666667,2.0476190476190474,0.0,286.3333333333333,49.95238095238095,0.4091336811241699,5.461456770479473,3.164177058376043,25785.0,4.033613445378151,425,9378,104,23,7,0,1,0,145.0,40.0,0.38461538461538464,4.086538461538462,16.48245103742486,10,Dolphin
82,645ea0cbf5ee1cc2620a0ebd,calciumdeficit,83,18,18328.33333333333,66963ad0831a250b874f0e57,KZ,2023-05-12T20:25:47.081Z,1768491.893396686,96,241,123,455092.5787777783,1404,51831938.057430744,29492.324311490975,3.8199640478976438,266.0263532763533,15116.99358974359,105.56695156695157,2.9423076923076925,1.6702279202279202,0.8126780626780626,7.0584045584045585,0.04700854700854701,2.1061253561253563,104.48219373219374,0.9898301475011191,2.5130246166990196,9.454727304912561,18328.33333333333,5.619714467582068,243,13616,103,0,2,0,9,0,0.0,103.0,1.0,2.3592233009708736,13.258161316722745,11,Eagle
441,6347537ed5a4ef5ffbfede2a,wherestheb,447,22,22600.0,671916daeee6bfb07aac1e8f,US,2022-10-12T23:53:34.212Z,48040.0,19,66,31,12245.939222222229,9,70136270.92702317,30792.4074074074,3.589856303844248,374.22222222222223,15415.444444444445,107.0,13.555555555555555,5.333333333333333,2.3333333333333335,1.5555555555555556,1.3333333333333333,15.11111111111111,97.88888888888889,0.9166770688352339,3.4899556947517545,12.440584797301232,22600.0,4.469026548672566,323,16539,101,20,7,2,0,2,3.0,98.0,0.9702970297029703,3.198019801980198,14.292035398230087,12,Elk
10761,61d63e782e15a1740d5bb8db,wyl_cn,11475,39,39643.333333333336,6695cc8c831a250b87f7b99b,HK,2022-01-06T00:57:28.647Z,244712.6779808722,12,184,103,66431.00244444446,8,94324436.51097631,191491.25,0.7543118122549819,565.0,10360.125,103.0,11.625,3.875,1.375,4.125,0.0,216.375,38.0,0.3693993380330395,5.481549961967221,3.581956580797233,39643.333333333336,2.5729420667619607,358,10962,102,13,2,1,5,0,23.0,85.0,0.8333333333333334,3.5098039215686274,9.030522155890019,13,Falcon
