,cluster,rank,cohort,best_time,xp,achievement_rating,TL_games_played,TL_games_won,TL_play_time,num_records,time_played,final_time_avg,pps_avg,inputs_avg,score_avg,pieces_placed_avg,singles_avg,doubles_avg,triples_avg,quads_avg,all_clears_avg,finesse_faults_avg,finesse_perf_avg,percent_perf_avg,kpp_avg,kps_avg,final_time_pb,pps_pb,inputs_pb,score_pb,pieces_placed_pb,singles_pb,doubles_pb,triples_pb,quads_pb,all_clears_pb,finesse_faults_pb,finesse_perf_pb,percent_perf_pb,kpp_pb,kps_pb
0,0,10291.46079088472,35.29859249329759,35.0,7348738.799005152,104.21648793565684,3902.9346514745307,1630.621983914209,1904278.544708184,91.37902144772119,106218415.96068601,49569.941350483845,2.478034593165744,373.00536647157526,15256.693066200498,106.37158011704695,6.601661607967691,1.8780166340313615,0.6099734251897255,6.029412836309228,0.12455667922450926,30.113331473961505,87.75948149139121,0.8253065298599969,3.500625961800484,8.534359044411937,35727.784852546916,3.044146471015621,342.28451742627345,14288.800938337801,102.38505361930295,5.0328418230563,1.5288203753351206,0.5760723860589813,7.141756032171582,0.10824396782841823,23.092828418230564,86.51541554959786,0.8453868262239348,3.3417669276542656,10.030871292095181
1,1,11703.563253012047,38.07314974182444,38.0,879472.9545565181,10.65619621342513,494.6412794033276,207.02395295467585,256298.22811969186,24.48694779116466,102015499.82196443,46688.10568094335,2.4145834557120103,366.4989264048945,13222.3068324952,105.73576953033125,6.75826747314188,2.2423111993439027,0.8238064911963118,6.292552440596688,0.04511959547131527,33.62995626953855,85.24890563001274,0.8066379298614018,3.462620134889,8.251172826499129,38484.52859055268,2.7551635575662683,343.7604704532415,13038.518789443488,103.07716580608147,5.556511761331039,1.8033562822719449,0.7454102122776821,7.078026391279403,0.032415375788869764,27.153614457831324,85.20022948938612,0.8267642524351769,3.334127914029704,9.104665606188549
2,2,15135.743169398907,34.0655737704918,34.0,24787138.87479764,149.91803278688525,18941.508196721312,7718.213114754099,7031599.452613797,146.98360655737704,128061836.38609017,49692.63231135617,2.6264153872614395,373.13881554224804,16910.839407904296,107.37876824863889,7.287113265754553,2.1003382450850623,0.6226147578231314,5.266801781263616,0.30619502472239324,26.03835638518138,91.43802150164892,0.8517655309027403,3.468553661600279,8.913817210012715,34510.56466302368,3.3967170584609834,338.4535519125683,15607.08743169399,102.21857923497268,5.655737704918033,1.8743169398907105,0.6666666666666666,6.579234972677596,0.4426229508196721,19.398907103825138,89.09289617486338,0.872135748872528,3.3098328996421436,10.969833284436433
3,3,20452.82596084119,37.898477157360404,38.0,13231326.129660824,104.70268310369833,8515.637418419145,3498.6294416243654,3519172.5659482265,99.5598259608412,117282190.7273215,52485.78080892754,2.4473536459416665,377.7722082475133,15377.0273941436,106.70138574579896,7.332954362733719,2.207535793418783,0.6847966513461345,5.516154458705624,0.13471602686706163,33.37883220280529,86.98212973445321,0.8156846891244772,3.533605447876616,8.458632867499752,38363.751510756585,3.0194686763970604,345.0261058738216,14260.537345902829,102.60333575054388,6.16243654822335,1.9405366207396664,0.6287164612037709,6.583756345177665,0.15300942712110224,25.520667150108775,85.74111675126903,0.8364397314962894,3.360441030839632,9.955308331991592
4,4,30995.614285714284,44.785714285714285,45.0,5292134.893736376,73.31428571428572,1019.2785714285715,482.1928571428571,1380780.0301281433,3028.0714285714284,66859031.87673509,64278.66622556632,1.9537059481901553,389.32072366202755,11363.930241332846,108.77818019853687,12.231243722036423,4.554637389637564,1.2937131068492544,3.4866378163532903,0.026315016153224197,55.67432285579896,79.09912478972413,0.7290465583420563,3.5741555186331473,6.799884408029892,44841.94047619048,2.60232813420881,335.59285714285716,11693.671428571428,102.29285714285714,9.65,4.05,1.1571428571428573,4.642857142857143,0.07142857142857142,38.34285714285714,79.3,0.7757695521394984,3.279730656048914,8.348954601057747
5,5,32937.240178895205,48.7367339538257,49.0,2776028.465049225,66.25831016559894,1495.0520971836092,648.8403239453644,747968.1560670782,66.01704339417383,82698985.7026074,64821.774677908295,1.820402318891352,397.0432421975013,13554.970773123005,106.78169134959575,7.654363937259397,2.48777109643321,0.8748723817115236,5.738891567007774,0.06733086163371164,52.14231413875418,78.05686023317874,0.7313828992980624,3.713068040626581,6.654720844917074,48953.679640597926,2.1977716031223404,361.921672911882,13271.34256013538,102.97775897497884,6.010516136830654,1.9758249728030943,0.7775897497884685,6.748217091744229,0.049558805753656475,40.820863048470926,78.21769611990814,0.7599238337452915,3.5134048044005843,7.644664416995688
6,6,47941.327193932826,46.84723726977248,47.0,2780068.012921022,37.39219934994583,1971.768147345612,878.180931744312,863457.9109625702,21.5590465872156,79383073.33343418,62704.50399035224,2.085671581837405,402.2220143162668,32758.676988988485,105.28404229541181,8.327846302076772,4.620830618174857,0.8041625457285524,1.8940450414523533,3.986041226082446,27.00103561925617,89.71268525902477,0.8533574089123824,3.816542581228486,7.860734400361877,47289.41675695196,2.5466276312966833,387.3434452871073,37647.4247020585,103.28494041170097,7.2556879739978335,5.147345612134345,0.7963163596966414,1.408450704225352,5.049837486457204,17.4192849404117,91.7453954496208,0.8886485888932025,3.748543451880703,9.452278621340419
7,7,48223.75769230769,49.723846153846154,50.0,2610087.9131896696,51.63384615384616,1749.9407692307693,778.33,784133.6067873453,50.14846153846154,70744073.53695507,77797.88616573685,1.7075607059153306,422.25063849625394,21617.115375266883,107.36654646205272,8.649565702610602,3.2394375198756524,0.7605144917254192,3.624201583134374,1.431604139482125,51.673952636061664,81.98654047044681,0.7651481008323044,3.9250232076508467,6.506481738768766,49531.0641025641,2.32544639890397,393.89076923076925,37284.57,103.14,7.204615384615384,5.003846153846154,0.7784615384615384,1.2984615384615386,4.815384615384615,19.71923076923077,90.42,0.8768840638549327,3.8181840820212933,8.787217020890756
8,8,57286.96990254156,58.63749283393847,59.0,501800.5234788086,5.883193197018918,338.53520924899675,149.08852474679915,159645.1043161914,17.866185744314926,91777961.93454318,71773.99599407482,1.5671812723426166,395.9203580253365,13354.261042503167,107.22763471400029,6.267581946061963,2.025811833101564,0.8674068312309822,6.53035128373765,0.041800567697397074,53.741863666281596,77.3992806307837,0.7219707471215829,3.6890032323216375,5.737827298754435,59077.474839161725,1.7937146392305963,367.0427097267342,13396.662287406842,104.12879801261226,4.8152589336900435,1.3135390789222243,0.7383909803172176,7.50353525702274,0.029715268488438754,43.94066501051022,77.93120580928722,0.7485204316527619,3.5239408641867063,6.304272915485807
9,9,60556.13607027609,56.56167084976694,57.0,4781972.37665645,31.289709573323773,4012.6061312298316,1666.2196127644318,1321951.3301707106,22.071172463248477,102903625.4674257,71561.00051206221,1.6630365771524873,410.64675525515224,12792.883373349285,106.62484296549802,9.326784717820095,3.3355773816728003,1.1182506399378564,4.831411933488849,0.07177434577922491,65.365606863395,72.62783177113943,0.6820941558295793,3.844842923824347,6.2710419873315955,56962.60457750687,1.9345881057222984,379.6247759053424,12606.835604159196,103.53406238795267,8.272319827895304,2.9763356041591966,1.0487629974901398,5.500358551452133,0.06113302258874148,53.976873431337395,73.14861957690928,0.7071345772138634,3.664123747561165,7.003513867182217
10,10,62688.585052399336,60.32393822393822,60.0,466909.8571514613,4.542967457253171,304.942471042471,133.42553778268064,151060.8343442045,19.612851627137342,90690960.83266309,71871.37239570651,1.5457802828092821,418.7046235827583,10638.502565917948,106.93850555471381,14.172250448405833,5.702798117877667,1.6011444623482336,2.397040087345337,0.019240617803140264,78.12074867013125,66.95234570302183,0.6266139575157694,3.9120200783128,5.990577397834641,60778.558834344556,1.7354713952090275,387.1623827909542,10554.937120794264,103.757694429123,13.869332597904027,6.136293436293436,1.5700496414782128,2.288527302813017,0.01649200220628792,65.5468836183122,68.0446221731936,0.655936154509201,3.730388517912033,6.444386306761387
