,id,username,rank,cohort,best_time,best_record,country,created_date,xp,achievement_rating,TL_games_played,TL_games_won,TL_play_time,num_records,time_played,final_time_avg,pps_avg,inputs_avg,score_avg,pieces_placed_avg,singles_avg,doubles_avg,triples_avg,quads_avg,all_clears_avg,finesse_faults_avg,finesse_perf_avg,percent_perf_avg,kpp_avg,kps_avg,final_time_pb,pps_pb,inputs_pb,score_pb,pieces_placed_pb,singles_pb,doubles_pb,triples_pb,quads_pb,all_clears_pb,finesse_faults_pb,finesse_perf_pb,percent_perf_pb,kpp_pb,kps_pb,cluster,cluster_name
4074,611615c93334fb5aa7ebcf59,sigkin,4239,32,32273.33333333333,6696167a831a250b873342ed,KR,2021-08-13T06:48:41.047Z,20499533.917501904,107,31897,12645,6698905.583000001,55,106917764.0983243,37857.06060606061,2.7999705703169164,391.1454545454545,15101.854545454546,104.43636363636364,4.381818181818182,0.8363636363636363,0.6363636363636364,7.290909090909091,0.03636363636363636,23.527272727272727,86.50909090909092,0.8281982944812396,3.744091489380669,10.464686202284867,32273.33333333333,3.191489361702128,381,14497,103,0,0,0,10,0,16.0,87.0,0.8446601941747572,3.6990291262135924,11.805412104936998,2,Bee
6149,5f65eaf5ead0072b56cf2621,starguy123,6485,35,35101.666666666664,669638a3831a250b874d504b,AU,2020-09-19T11:26:45.936Z,15450272.496721985,91,12133,5113,4174733.0913333306,11,135240279.21366024,37991.666666666664,2.749383827033511,369.45454545454544,13858.636363636364,104.27272727272727,3.4545454545454546,2.0,0.7272727272727273,7.454545454545454,0.0,31.363636363636363,83.9090909090909,0.8048745409432027,3.5431685316612875,9.73587643592554,35101.666666666664,2.8773562508902715,344,11777,101,5,6,1,5,0,42.0,81.0,0.801980198019802,3.405940594059406,9.800104458477755,3,Bobcat
24440,626da6483fd82c068e502f28,aquariusj,26087,48,48710.0,6695e2fb831a250b870a11d9,TW,2022-04-30T21:12:40.653Z,2745854.7828198723,100,2035,927,821945.2882222229,34,84401924.53029943,61905.0,1.7752758887229614,398.6764705882353,14733.470588235294,106.61764705882354,22.294117647058822,1.911764705882353,0.5882352941176471,2.588235294117647,0.029411764705882353,52.088235294117645,78.61764705882354,0.7377231239183679,3.7401806585294044,6.623816718164729,48710.0,2.094025867378362,357,12458,102,30,3,0,0,0,46.0,79.0,0.7745098039215687,3.5,7.329090535824266,5,Cat
11334,61ec90783abbd389990448c6,asianontop,12096,40,40071.66666666666,66962d04831a250b8744935f,US,2022-01-22T23:17:12.095Z,2498186.5912311645,17,-1,837,-1.0,19,92861653.06401062,49210.78947368421,2.2252033996520577,377.3157894736842,36201.26315789474,105.0,7.0,5.105263157894737,0.631578947368421,1.4736842105263157,4.368421052631579,11.526315789473685,97.78947368421052,0.9340030071549408,3.5940683292522415,7.997315914025679,40071.66666666666,2.520484132595766,354,37634,101,7,8,0,0,5,3.0,98.0,0.9702970297029703,3.504950495049505,8.834172108305953,6,Cheetah
123110,61aa54b3dbc55fb324c5b37a,big_xia,128231,76,76493.33333333333,6695f49f831a250b8718596e,US,2021-12-03T17:32:35.547Z,433207.0160659311,13,260,88,149048.37388888895,13,97202329.81492615,86713.71794871794,1.2736152833980765,466.38461538461536,13310.538461538461,109.6923076923077,2.4615384615384617,1.3076923076923077,0.6923076923076923,8.384615384615385,0.0,93.84615384615384,61.46153846153846,0.5606124568180898,4.25223266907189,5.411989308832714,76493.33333333333,1.3334495380861078,444,11909,102,5,2,1,7,0,100.0,55.0,0.5392156862745098,4.352941176470588,5.804427401080705,13,Falcon
132240,650a3e9d2cdcaa4d63c009f1,dot3508,137522,78,78170.0,669631da831a250b8747e2c0,US,2023-09-20T00:36:45.953Z,797477.0886246113,18,683,297,229771.91899999985,12,40584879.42377496,81565.55555555555,1.2870183838734024,496.9166666666667,9615.166666666666,104.91666666666667,19.5,3.9166666666666665,0.9166666666666666,2.4166666666666665,0.0,66.66666666666667,72.33333333333333,0.6891965186440373,4.737777691120349,6.098970484158854,78170.0,1.3048484073173854,457,10414,102,7,3,5,3,0,54.0,69.0,0.6764705882352942,4.480392156862745,5.846232570039657,15,Gazelle
240924,61cf5face66d5e54bd68e993,yoshidaboi542,247462,95,95826.66666666669,66958c24a2f6b8219afdf6ce,US,2021-12-31T19:53:16.900Z,93820.5,0,203,41,27631.49166666668,1,94774688.67063832,95826.66666666669,1.1479059412828718,407.0,12849.0,110.0,6.0,3.0,0.0,7.0,0.0,74.0,71.0,0.6454545454545455,3.7,4.247251982746625,95826.66666666669,1.1479059412828718,407,12849,110,6,3,0,7,0,74.0,71.0,0.6454545454545455,3.7,4.247251982746625,18,Hare
232685,655b6abfd99229fa5e8a7ef2,minjaero,239147,94,94596.66666666669,66963cc1831a250b87509d1c,KR,2023-11-20T14:18:39.171Z,1151851.436759318,30,3049,1202,365865.6661111106,2,35265166.38543582,100631.66666666669,1.2115297072659361,597.0,25580.0,121.0,9.5,2.0,1.0,0.0,0.0,119.5,76.0,0.6226246827193525,4.944021403580983,5.966499876669367,94596.66666666669,1.363684414531872,618,33548,129,1,0,1,0,0,103.0,91.0,0.7054263565891473,4.790697674418604,6.532999753338735,20,Hyena
386764,65106a5a2cdcaa4d63c135d7,starducks,394151,115,115935.0,6695fbcb831a250b871e220e,NL,2023-09-24T16:56:58.705Z,201480.0,0,94,43,58825.5806666667,3,40180467.129906654,120853.88888888888,0.9032737813041471,554.6666666666666,10145.333333333334,109.0,13.666666666666666,4.666666666666667,2.6666666666666665,2.6666666666666665,0.0,168.0,40.666666666666664,0.37286568585616836,5.087122172542666,4.592589754069782,115935.0,0.9143054297666796,543,9170,106,19,6,2,1,0,183.0,33.0,0.3113207547169811,5.122641509433962,4.683658946823651,24,Kangaroo
374752,61546bf087e8d6bee3108cb6,xiao-xx,382101,114,114355.0,6695f40e831a250b8717e4c8,TW,2021-09-29T13:36:48.379Z,53739.0,0,11,1,33694.235444444435,18,102832477.43523884,133456.11111111112,0.78274452146918,530.6666666666666,9768.611111111111,104.05555555555556,18.833333333333332,6.166666666666667,1.0,1.5,0.1111111111111111,201.38888888888889,28.72222222222222,0.2760876810582429,5.099809604966883,3.9808345460675603,114355.0,0.9094486467579028,475,12558,104,23,5,1,1,1,178.0,29.0,0.27884615384615385,4.5673076923076925,4.153731800096192,25,Lemur
462396,631c5e64a8daf3cf0624a45d,gerome_74,470081,126,126253.33333333331,6695c42e831a250b87f0cc7f,PH,2022-09-10T09:52:36.202Z,124496.0,0,99,31,36190.59522222222,5,72951529.76908875,147322.0,0.7325138181440678,563.0,10794.8,107.4,13.8,3.6,2.4,3.2,0.0,193.2,36.8,0.34167824188310514,5.240343380701446,3.829467547843091,126253.33333333331,0.8158200443552646,510,10376,103,8,7,2,3,0,177.0,36.0,0.34951456310679613,4.951456310679611,4.039497307001796,27,Meerkat
511565,63c0551eb1efb7cfd1ce2cd6,saltyrat24,519400,133,133151.66666666666,6695ccf0831a250b87f80b6b,US,2023-01-12T18:44:46.641Z,1635.0,0,0,0,1157.2666666666669,5,62205999.41805267,151429.33333333334,0.7361038476215771,441.2,9377.2,110.6,14.6,8.4,1.8,1.0,0.0,95.8,68.0,0.6155994747858032,3.973818940571637,2.917764975201963,133151.66666666666,0.7735539672804197,371,9314,103,17,7,3,0,0,78.0,68.0,0.6601941747572816,3.6019417475728157,2.7862963287479188,28,Moose
617451,626d9b6e6f21700673878169,roberbg97,625552,148,148886.66666666666,669600a7831a250b87221002,CU,2022-04-30T20:26:22.125Z,211773.0,0,122,55,56740.150888888864,10,84404704.12146068,165533.5,0.6967005741446182,705.4,9300.0,115.0,19.9,4.3,1.9,1.6,0.0,299.7,22.9,0.19810946641861907,6.158326079035293,4.268992959569436,148886.66666666666,0.7052344064836789,638,10213,105,11,5,1,4,0,249.0,23.0,0.21904761904761905,6.076190476190476,4.2851385841579726,31,Opossum
648210,652c850eeb15587c4fac0230,crystiana,656375,153,153896.66666666666,6695fef6831a250b8720b054,US,2023-10-16T00:34:22.588Z,4540.684996518831,0,1,0,1838.321888888889,4,38338623.71411538,185376.66666666666,0.6067290187695143,587.25,10958.0,110.25,7.5,4.5,1.5,5.0,0.0,206.0,33.75,0.30824090848835667,5.319465658380753,3.219668561604589,153896.66666666666,0.6822759860512466,559,11744,105,7,3,1,6,0,200.0,31.0,0.29523809523809524,5.3238095238095235,3.6323073924061604,33,Parrot
655468,655fe3542e0097c4051ba60f,chaotic_xp,663644,155,155116.66666666666,6696064e831a250b87268fbd,US,2023-11-23T23:42:12.336Z,68756.0,0,41,13,21399.38222222221,1,34972153.97875786,155116.66666666666,0.6898033738046633,498.0,12330.0,107.0,3.0,3.0,1.0,7.0,0.0,153.0,47.0,0.4392523364485981,4.654205607476635,3.2104867304179656,155116.66666666666,0.6898033738046633,498,12330,107,3,3,1,7,0,153.0,47.0,0.4392523364485981,4.654205607476635,3.2104867304179656,34,Polar Bear
720157,6252d4aa0833cfa3b15bc292,tort0ise,728481,166,166883.33333333334,6695f0f7831a250b871564d9,AU,2022-04-10T12:59:22.622Z,24904.0,0,9,0,18913.843111111117,16,86159523.81027293,197065.9375,0.547959967811918,628.25,12070.5,107.1875,5.125,2.4375,1.0,6.9375,0.0,263.875,24.0625,0.22415252743606806,5.863962221951231,3.2042359028274614,166883.33333333334,0.629182063317687,547,13226,105,2,1,0,9,0,223.0,24.0,0.22857142857142856,5.20952380952381,3.277738939378807,35,Pudu
725238,65013f7abc273530894d2dbe,kalistri,733573,167,167893.33333333334,6695fd82831a250b871f84c1,KR,2023-09-13T04:50:02.914Z,2667.0,0,5,1,1111.728,2,41174483.52696395,189556.6666666667,0.5653780656143343,677.5,9823.5,106.0,12.0,4.5,3.0,2.5,0.0,276.0,21.5,0.20245726495726496,6.394408831908832,3.6235662309795322,167893.33333333334,0.6194409148665818,681,9227,104,14,5,4,1,0,290.0,19.0,0.18269230769230768,6.548076923076923,4.056146759847522,36,Puma
874111,6255a4d80833cfa3b15ce0a1,100qtips,882745,206,206318.3333333333,66959b1ca2f6b8219a0b2289,PH,2022-04-12T16:12:08.774Z,168751.0,0,419,143,60556.15244444444,4,85975157.93496656,275582.9166666666,0.45743099871371323,976.75,10003.0,119.75,13.5,3.75,2.0,3.0,0.0,552.25,13.0,0.1110257723160949,8.088681044007869,3.6306397826257597,206318.3333333333,0.5234629334927418,759,12031,108,11,1,1,5,0,343.0,22.0,0.2037037037037037,7.027777777777778,3.6787811714906575,40,Serval
923120,65e091ffb4b305097912135e,mosquito_zzzzz,931832,226,226326.66666666663,66961a04831a250b87360529,BR,2024-02-29T14:17:35.701Z,37133.0,0,25,6,18140.205,6,26538831.097108126,282566.6666666667,0.39228104700915406,755.1666666666666,8794.833333333334,108.83333333333333,21.333333333333332,6.5,1.1666666666666667,0.6666666666666666,0.0,352.0,13.333333333333334,0.12290530127002762,6.933420475448322,2.712305701834533,226326.66666666663,0.4683495831983269,714,8434,106,28,6,0,0,0,290.0,17.0,0.16037735849056603,6.735849056603773,3.1547320981472216,43,Swan
926936,61a53cea0bf7c9b332b7a356,erik2593,935652,228,228160.0,6695a54da2f6b8219a141e1e,IT,2021-11-29T20:49:46.437Z,23576.0,0,28,5,10791.320333333331,3,97536100.36767292,277224.44444444444,0.44505753475205756,506.3333333333333,8790.333333333334,116.33333333333333,11.333333333333334,7.666666666666667,2.3333333333333335,1.6666666666666667,0.0,107.66666666666667,70.66666666666667,0.6211369793819167,4.3529683883267944,1.9368126230038396,228160.0,0.5347124824684433,523,8690,122,13,5,3,2,0,154.0,51.0,0.4180327868852459,4.286885245901639,2.292251051893408,44,Swordfish
980630,6156784e764ce4f9c795ad8c,vaginalcord,989447,262,262308.3333333333,66957c41a2f6b8219af00628,PH,2021-10-01T02:54:06.983Z,700.0,0,0,0,262.30833333333334,1,102698239.92026925,262308.3333333333,0.4041045842996473,553.0,8868.0,106.0,17.0,9.0,2.0,0.0,0.0,254.0,37.0,0.3490566037735849,5.216981132075472,2.108205991676462,262308.3333333333,0.4041045842996473,553,8868,106,17,9,2,0,0,254.0,37.0,0.3490566037735849,5.216981132075472,2.108205991676462,46,Tiger
988808,60791ec9d600746eb8b7dc1a,phanthehoang2503,997630,269,269470.0,669566b1a2f6b8219add01c5,VN,2021-04-16T05:21:13.508Z,3545.0,0,0,0,1962.7511111111112,3,117204613.4104681,276936.1111111111,0.45034449321312797,809.6666666666666,9383.333333333334,124.66666666666667,11.333333333333334,6.666666666666667,1.6666666666666667,2.6666666666666665,0.0,378.6666666666667,24.333333333333332,0.19534050179211468,6.491636798088411,2.9213523027655985,269470.0,0.4601625412847441,785,9476,124,12,9,1,2,0,330.0,27.0,0.21774193548387097,6.330645161290323,2.9131257653913236,47,Warthog
1021353,656af8326b761316846f1d4d,uoltshayer,1030228,310,310050.0,669610b0831a250b872ebb08,RU,2023-12-02T09:26:10.041Z,10520.0,0,5,4,5443.457222222222,2,34245916.93583584,338408.3333333334,0.33341803263899983,616.0,7457.0,112.5,16.5,8.0,2.0,0.5,0.0,0.0,112.5,1.0,5.458181530175827,1.8157026357019839,310050.0,0.3451056281244961,546,7413,107,21,7,2,0,0,0.0,107.0,1.0,5.102803738317757,1.761006289308176,49,Zebra
